"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CABIN1",0.121546492401041,4.958911488903,1.70493338439595,0.0925577614909927,0.223636232401323,-5.38860927162258
"C21orf67",0.0956658578905913,3.15916161567731,1.70479757723955,0.0925832318208894,0.223655271668902,-5.38883209534812
"SPIRE2",0.190913062282026,7.97392590422105,1.70478816362313,0.0925849975366441,0.223655271668902,-5.38884754000421
"KCND3",0.128911403705786,3.84512837256908,1.70475447211751,0.0925913172919141,0.223655271668902,-5.38890281606784
"LINC00293",-0.0765789787654698,1.59556013846086,-1.70472906612435,0.0925960831085997,0.223655271668902,-5.38894449781685
"XLOC_002233",-0.153196011514237,1.79436151084952,-1.70442276277708,0.0926535572559684,0.22377570189336,-5.38944698222821
"TSPAN11",0.151496214292362,4.84392369608726,1.70429536420345,0.0926774706797716,0.223815063549768,-5.38965595251537
"XLOC_l2_001954",-0.22675293489805,2.0704420530899,-1.70422392260131,0.0926908828816106,0.223829060486834,-5.38977313098759
"RAB12",-0.0837018864047341,5.47883466581846,-1.70401118124563,0.092730831640053,0.223905922574755,-5.39012204244038
"LOC100129961",-0.199614421439631,2.09159921414881,-1.70397327861861,0.0927379505097292,0.223905922574755,-5.39018420132371
"LOC100507114",0.188328820599436,1.85610162238904,1.70389208849469,0.0927532011427619,0.223924346930378,-5.39031734578993
"ATPIF1",0.0546292049865915,10.1146662693247,1.70371773876637,0.0927859576861187,0.223985027474918,-5.3906032438461
"DOK6",-0.185244231286891,1.98875368809804,-1.70340031905469,0.0928456183326073,0.224110639142395,-5.39112367837302
"PCM1",-0.0767867392563044,6.3675819594882,-1.70326108108696,0.0928717987355163,0.224155422243705,-5.39135194177062
"MTUS1",-0.102111259712244,5.2754313097746,-1.7031522304864,0.0928922697274891,0.224182541385558,-5.3915303768771
"SMG1",0.121079078150415,5.28264384624607,1.7031202148916,0.0928982914452608,0.224182541385558,-5.39158285695974
"TAS2R30",-0.277511407380724,3.32065545008788,-1.70288138854383,0.092943221677098,0.224272551001442,-5.39197431333511
"LSM14A",0.106289153349496,5.00378298156907,1.70248777333798,0.0930173110921596,0.224432901344531,-5.3926193712788
"LOC100506769",-0.0897442972692295,1.692824926025,-1.70225285876563,0.0930615516585338,0.22452121173475,-5.3930042846423
"MLL4",-0.101385581339478,5.12346898042154,-1.70212630101641,0.0930853929437159,0.224560296160723,-5.39321163238265
"WDR64",-0.107753411585924,1.68208761683981,-1.70201553447495,0.0931062635464903,0.224592208249549,-5.39339309671514
"WBSCR22",0.1035582829844,5.86825827668146,1.70170866746082,0.0931641033770302,0.224713285459961,-5.3938957676933
"XLOC_006163",0.0726438603695816,1.7355951880411,1.70148699533935,0.0932059035618463,0.224795658094012,-5.3942588311716
"XLOC_010236",0.18460790864463,2.09086363500455,1.7013786851091,0.0932263329524308,0.224826478976369,-5.39443621016167
"FASN",0.166295014161571,7.16893832224932,1.70131631783079,0.0932380982840348,0.224836402098237,-5.39453834394666
"LOC100505787",-0.179011518000026,3.30158702297981,-1.70098036846585,0.0933014946845803,0.224970817672337,-5.39508844139506
"XLOC_005039",-0.085239756774657,1.81389206057281,-1.70050595006025,0.093391081477716,0.225168356917476,-5.39586510337187
"POP7",0.0647153731353693,8.96767080952025,1.69975645262872,0.0935327564160343,0.225491439339985,-5.3970916856664
"ZAN",-0.204583203350339,3.19317154128803,-1.69946101966246,0.0935886494535481,0.225596980909006,-5.39757503656861
"XLOC_007689",0.238243712839336,1.71791531967562,1.69944390854919,0.0935918875473865,0.225596980909006,-5.39760302928584
"LOC100288069",-0.167026617656386,4.09379012874306,-1.69835264817096,0.0937985864407621,0.226076671723211,-5.39938772706777
"XLOC_l2_010897",0.144979320259426,2.10957995773443,1.69816642458128,0.0938338969225579,0.226143231323613,-5.3996921802575
